curated_path,category,authority,sensitivity,status,note,original_path,size_bytes,sha256
01_CORPORATE_LEGAL/01_Incorporation/01_SENTRA_AI_Keputusan_Menteri_Hukum_Pengesahan_Pendirian_2026-09-04.pdf,Corporate Legal / Incorporation,CANONICAL,RED,CURRENT,Official Ministry of Law incorporation approval.,sk_sentrahai.pdf,884537,f7b4c4c07aaabf05f7c8fcc513e504a50e059d180f1ab07d58937d7507ee2044
01_CORPORATE_LEGAL/01_Incorporation/02_SENTRA_AI_Surat_Pernyataan_Pendirian_2026-09-04.pdf,Corporate Legal / Incorporation,CANONICAL,RED,CURRENT,Official incorporation statement attached to approval.,sp_sentrahai.pdf,91642,84d61c2bf810505489415382188ce928eb289a133fd3e52d0f8ac8c3fac8924a
01_CORPORATE_LEGAL/02_Agreements_Under_Review/01_SENTRA_AI_Phantom_Stock_Participation_Agreement_2026_DRAFT_LEGAL_REVIEW.pdf,Corporate Legal / Agreement,DRAFT / SUBJECT TO LEGAL REVIEW,RED,REVIEW,Document itself states subject to legal review; not promoted to canonical executed agreement.,sentra_phantom_stock_agreement_2026.pdf,106666,ad0813d969bf2c99e4a83ad16d571e414206520c08defdcefbae2ce0e9ec3ae0
01_CORPORATE_LEGAL/03_Legal_Transition_and_Guidance/01_SENTRA_AI_Legal_Transition_Guide_2026_Rev1.3.pdf,Corporate Legal / Guidance,INTERNAL GUIDANCE,RED,CURRENT,Working decision guide; professional verification required at implementation.,sentra_legal_transition_guide_2026.pdf,421270,1174d4acee01c62045c513b34f18861017799120deb821c5775aad2f9f8b32a1
02_GOVERNANCE_ORGANIZATION/01_SENTRA_AI_Organisational_Charter_2026_Rev1.3.pdf,Governance / Organization,OPERATING CHARTER,AMBER,CURRENT,Internal operating charter.,sentra_organisational_charter_2026.pdf,116047,447e522bfe52cc767c6db17e1ac98beda8a31ee7329fd085b2c19102a0ee70cf
03_FINANCE_STRATEGY/01_SENTRA_AI_Financial_Architecture_2027-2030_Rev1.3.pdf,Finance / Strategy,PLANNING BASELINE,RED,CURRENT,"Planning assumptions, not audited results or forecast.",sentra_financial_architecture_2026.pdf,119734,b8b0462d85559e0889fdd0ced3c738e098feef73266be3b1ab1e3e32c0a82a12
04_CORPORATE_PROFILE/01_SENTRA_AI_Company_Brief_2026.pdf,Corporate Profile,PUBLISHED / REFERENCE,GREEN,CURRENT,One-page company brief.,sentraone-swiss.pdf,4866668,b83b6e97da910d2687599d61bcd6522284f8d7c3081bc389d85f6b5ec7d925cc
05_FOUNDER_EXECUTIVE/01_Profile_Data/01_Ferdi_Iskandar_Profile_Source.json,Founder / Profile Data,SOURCE DATA,AMBER,CURRENT,,ferdiiskandar.json,8034,fd32d5ad2bf177416648d3fb0ff76fabde05e88bb1853925c3748097ce39b0cd
05_FOUNDER_EXECUTIVE/01_Profile_Data/02_Ferdi_Iskandar_Portfolio_Source.json,Founder / Profile Data,SOURCE DATA,AMBER,CURRENT,,ferdiiskandar_portfolio.json,13431,f7633c00bc9505054670157d083da9ff83b0de754eac7bf2ccc6fe80a04ec3d9
05_FOUNDER_EXECUTIVE/02_CV_and_Portfolio/01_Ferdi_Iskandar_CV_2026.pdf,Founder / CV,PROFILE ARTIFACT,AMBER,CURRENT,,drferdiiskandar-resume.pdf,2468181,be63889baeb8cdbb6876d9d5b090e89eff839666cd9d87d9c7cb3627b91c2e9f
05_FOUNDER_EXECUTIVE/02_CV_and_Portfolio/02_Ferdi_Iskandar_Executive_Portfolio_2026.pdf,Founder / Portfolio,PROFILE ARTIFACT,AMBER,REFERENCE,Older/larger executive portfolio retained as reference.,executive_preview.pdf,125155,f29e513b19e303f5ff0eb9312217dca1af95c918312442da7ea4e03731c8df28
05_FOUNDER_EXECUTIVE/03_Personal_Brand_Media/01_Ferdi_Iskandar_Portrait.png,Founder / Personal Brand,MEDIA ASSET,AMBER,CURRENT,,ferdi_brand/drferdiikskandar.png,1826978,fb95431fb2b866892e3e2458be3388c0af50cba9990fec434cf049ce8a4b3256
05_FOUNDER_EXECUTIVE/03_Personal_Brand_Media/02_Ferdi_SentraBot.png,Founder / Personal Brand,MEDIA ASSET,AMBER,CURRENT,,ferdi_brand/ferdi_sentrabot.png,83691,a69d5cfb6d84127ff7a00f68787b12298ab42b0b3d0defe32294015ed5add37e
05_FOUNDER_EXECUTIVE/03_Personal_Brand_Media/03_FTDR_360.mp4,Founder / Personal Brand,MEDIA ASSET,AMBER,CURRENT,,ferdi_brand/ftdr-360.mp4,13544832,632f3a304bb7b8f0498ced67f0ee57ff91144b2d9110815524e891f838e4b565
05_FOUNDER_EXECUTIVE/03_Personal_Brand_Media/04_FTDR_Slight.mp4,Founder / Personal Brand,MEDIA ASSET,AMBER,CURRENT,,ferdi_brand/ftdr-slight.mp4,13441725,03ca4a304f77115c51556f57194187042e733971ee6e7a929f9206b905e7bcb9
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/00-brand-strategy/brand-tokens.css,Corporate Brand,BRAND STRATEGY / TOKENS,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/00-brand-strategy/brand-tokens.css,581,b125207248fa6c65198b85f89c9f25e9893315131920b0492ebce29681e621c0
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/00-brand-strategy/brand-tokens.json,Corporate Brand,BRAND STRATEGY / TOKENS,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/00-brand-strategy/brand-tokens.json,781,b23b0d4e8ea4bedf111b55129c61e3cc11eb29f3df68dc98706bbc51d14ac25b
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/00-brand-strategy/brand_foundation.md,Corporate Brand,BRAND STRATEGY / TOKENS,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/00-brand-strategy/brand_foundation.md,1387,d9975229796d6b247e2c825311f223dfccd9e6dd5faea198e200b7c01dfe1696
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/00-brand-strategy/platform_specs.md,Corporate Brand,BRAND STRATEGY / TOKENS,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/00-brand-strategy/platform_specs.md,1265,5cf68ec94115bc79ed50884141108ec2c1f9eb27be6aa32bbc2d9327dabd16b1
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/00-brand-strategy/typography.css,Corporate Brand,BRAND STRATEGY / TOKENS,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/00-brand-strategy/typography.css,320,09c14a424a03987e3ac9387b59cf21ee1df12a05a7d80b551fcc91698cc83ad3
06_CORPORATE_BRAND/01_Sentra_Brand_System_v1.0/00-master-logo/sentra-ai-logo-horizontal.png,Corporate Brand,BRAND PACKAGE ASSET,GREEN,MIXED: APPROVED / REVIEW,Preserved original package path to protect manifest/reference integrity.,brand/00-master-logo/sentra-ai-logo-horizontal.png,486478,c1cdd2c300ac727bab44ad1d598c9781fa9bb1b85be265e4bf0abdf590b101ac
